text,label
"This government is ruining the country",2
"I love the new community park!",0
"Vaccines are dangerous and should be banned",2
"The match was okay, nothing exciting",1
"Food prices are rising again!",1
"Stay safe and take care everyone",0
"Politicians are all liars",2
"Watching the sunset was so peaceful",0
"This product should be illegal",2
"I just had the best meal of my life",0
"Protests are breaking out across the city",1
"That movie was painfully boring",1
"Immigrants are ruining this place",2
"Spent the weekend with my dog 🐶",0
"The CEO's decision is outrageous!",2
"Cool breeze and coffee = heaven",0
"Prices are soaring thanks to corruption",2
"Support local farmers, not big corporations",1
